"Versions","FileName","WhenCreated","WhenChanged","fileid","Library","site","LibraryURL"
"4","Documento.docx","27/7/2016 20:37:17","27/7/2016 20:40:20","1","Docs de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Docs%20de%20prueba/Documento.docx"
"1","Bety","31/5/2017 18:50:24","16/7/2019 15:59:38","2","Docs de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Docs%20de%20prueba/Bety"
"1","Abrir bloc de notas.onetoc2","31/5/2017 18:50:37","31/5/2017 18:50:51","3","Docs de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Docs%20de%20prueba/Bety/Abrir%20bloc%20de%20notas.onetoc2"
"1","Nueva sección 1.one","31/5/2017 18:50:48","11/5/2019 13:44:47","4","Docs de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Docs%20de%20prueba/Bety/Nueva%20secci%C3%B3n%201.one"
"2","BirthTrendsForecast (Sample).xlsx","4/9/2014 15:46:12","24/6/2016 20:14:48","15","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/BirthTrendsForecast%20(Sample).xlsx"
"2","Olympics (Sample).xlsx","4/9/2014 15:46:16","24/6/2016 20:14:53","16","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Olympics%20(Sample).xlsx"
"2","WorldBankIndicators (Sample).xlsx","4/9/2014 15:46:25","24/6/2016 20:14:58","17","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/WorldBankIndicators%20(Sample).xlsx"
"1","All Opportunities.xlsx","3/10/2014 15:32:42","3/10/2014 15:32:42","19","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Reportes%20CRM/All%20Opportunities.xlsx"
"1","Nuevo documento de texto.txt","4/12/2014 19:42:21","24/6/2016 20:14:59","20","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Nuevo%20documento%20de%20texto.txt"
"3","Certificaciones.xlsx","12/8/2015 15:56:47","18/6/2018 16:59:45","21","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Certificaciones.xlsx"
"256","Abonos - Precios - Horas 2019.xlsx","7/3/2017 03:46:41","19/11/2019 11:51:23","22","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Abonos%20-%20Precios%20-%20Horas%202019.xlsx"
"7","Disponibilidad - Prisma.xlsx","8/9/2017 20:09:34","11/9/2017 12:56:29","24","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/Disponibilidad%20-%20Prisma.xlsx"
"1","desktop-NTB-ELI.ini","13/4/2018 14:47:55","13/4/2018 14:47:44","25","Documentos compartidos","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20compartidos/desktop-NTB-ELI.ini"
"1","amarilla ga.xlsx","13/6/2014 13:46:03","5/9/2014 20:20:07","1","Documentos de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20de%20prueba/amarilla%20ga.xlsx"
"1","ANEXO I-PROPUESTA_DE_DESCRIPCIÓN_DE_SERVICIOS WO PRISMA SCBA Exchange Migration.pdf","13/6/2014 13:50:05","13/6/2014 13:50:08","2","Documentos de prueba","prismast.sharepoint.com","https://prismast.sharepoint.com/Documentos%20de%20prueba/ANEXO%20I-PROPUESTA_DE_DESCRIPCI%C3%93N_DE_SERVICIOS%20WO%20PRISMA%20SCBA%20Exchange%20Migration.pdf"
